,Time (s), Time (min), Total Electrical Energy, Change in Energy,Wmax,xi,yi,zi,group_idx,area,separation,w_vol,w_time,eta_c,eta_m
2852,3279.0,54.65,27984900000.0,-1035870000.0,57.88183000000001,223.0,247.0,38.0,10,361.24573936435684,3063.75,1589.68359375,3000,0.0040221860823198095,0.037015318975590406
2853,3279.0,54.65,27984900000.0,-308788000.0,57.88183000000001,223.0,247.0,38.0,10,165.22999685291597,3117.5,1589.68359375,3000,0.0025761907650355288,0.011034093386076062
2854,3280.0,54.6666666666667,26318600000.0,-3156790000.0,57.94931999999999,216.0,202.0,80.0,10,258.27416575018714,4783.75,1589.68359375,3000,0.03832457196895338,0.11994520985158785
2855,3280.0,54.6666666666667,26318600000.0,-1634170000.0,57.94931999999999,223.0,247.0,38.0,10,695.9891228385898,4192.5,1589.68359375,3000,0.0024067704522255295,0.0620918285927063
2856,3280.0,54.6666666666667,26318600000.0,-1124860000.0,57.94931999999999,223.0,247.0,38.0,10,210.0597213356657,2795.0,1589.68359375,3000,0.008233544508065217,0.042740115355680015
2857,3280.0,54.6666666666667,26318600000.0,-698075000.0,57.94931999999999,223.0,247.0,38.0,10,85.48620328967678,1451.25,1589.68359375,3000,0.024181140715687784,0.026524017234959306
2858,3281.0,54.6833333333333,24447800000.0,-2966290000.0,57.96066,216.0,202.0,80.0,10,238.8623780600486,3816.25,1589.68359375,3000,0.0488101454937859,0.1213315717569679
2859,3282.0,54.7,25858900000.0,-2982600000.0,58.02757,215.0,203.0,81.0,10,225.7973075054108,3977.5,1589.68359375,3000,0.05131833540431925,0.11534133315802296
2860,3282.0,54.7,25858900000.0,-1190990000.0,58.02757,204.0,339.0,43.0,10,228.8430198108333,2902.5,1589.68359375,3000,0.008942075507357664,0.04605725688254334
2861,3283.0,54.7166666666667,27267900000.0,-1711660000.0,58.08985,222.0,242.0,38.0,10,578.7190453176688,3117.5,1589.68359375,3000,0.004077145645382491,0.06277197730664995
2862,3284.0,54.7333333333333,28058900000.0,-4474770000.0,58.2123,222.0,242.0,38.0,10,340.9906484947665,5321.25,1589.68359375,3000,0.010598088626327332,0.15947774146527482
2863,3284.0,54.7333333333333,28058900000.0,-1379940000.0,58.2123,178.0,322.0,44.0,10,687.9799830384005,3977.5,1589.68359375,3000,0.002590835027897769,0.049180117538463734
2864,3285.0,54.75,27686400000.0,-3024450000.0,58.266980000000004,216.0,204.0,81.0,10,310.67916610870594,3332.5,1589.68359375,3000,0.04514094170861919,0.10923955443828016
2865,3285.0,54.75,27686400000.0,-783352000.0,58.266980000000004,201.0,340.0,42.0,10,235.6461050941827,3063.75,1589.68359375,3000,0.005252403132647458,0.028293747110494684
2866,3285.0,54.75,27686400000.0,-1931600000.0,58.266980000000004,201.0,340.0,42.0,10,852.1149796023068,4300.0,1589.68359375,3000,0.002551909251734044,0.0697671058714748
2867,3285.0,54.75,27686400000.0,-970677000.0,58.266980000000004,178.0,322.0,44.0,10,454.044812438082,3870.0,1589.68359375,3000,0.002838119014460876,0.035059704403606104
2868,3286.0,54.7666666666667,26252700000.0,-3090700000.0,58.305440000000004,215.0,203.0,81.0,10,230.31719481184174,3278.75,1589.68359375,3000,0.06324536172181992,0.11772884312851631
2869,3286.0,54.7666666666667,26252700000.0,-144353000.0,58.305440000000004,223.0,243.0,38.0,10,45.01207847423886,1505.0,1589.68359375,3000,0.009157421572702773,0.005498596334853177
2870,3286.0,54.7666666666667,26252700000.0,-294021000.0,58.305440000000004,223.0,243.0,38.0,10,239.28329848668133,3225.0,1589.68359375,3000,0.0016373789612174133,0.01119964803620199
2871,3287.0,54.7833333333333,25972700000.0,-2930380000.0,58.40128000000001,218.0,201.0,79.0,10,181.8059343093273,3386.25,1589.68359375,3000,0.06930307442615827,0.11282538973614603
